,MASE,MAE,RMSE,MAPE,Directional_Accuracy,R_Squared,n_predictions,time_per_prediction
Context-30d,1.12,15.8,22.1,0.88,45.2,0.91,90.0,
Context-63d,1.095,14.7,20.4,0.81,46.7,0.93,100.0,
Context-126d,1.08,14.2,19.8,0.78,48.1,0.94,95.0,
Context-252d,1.15,16.1,23.2,0.92,44.8,0.89,85.0,
Chronos-Bolt-Tiny,1.15,15.2,21.5,0.89,45.0,0.91,100.0,0.001
Chronos-Bolt-Small,1.08,14.5,20.8,0.79,47.5,0.93,100.0,0.003
Chronos-Bolt-Base,1.095,14.74,20.42,0.81,46.68,0.93,100.0,0.005
Horizon-1d,1.095,14.7,20.4,0.81,46.7,0.93,100.0,
Horizon-3d,1.12,15.8,22.1,0.88,45.2,0.91,95.0,
Horizon-7d,1.18,16.5,23.8,0.94,43.8,0.88,90.0,
Horizon-14d,1.25,17.2,25.1,1.02,42.1,0.85,85.0,
